Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
590,Bakary Sako,ml MLI,"FW,DF",West Brom,30,1988,5,2,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,3,19,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches
591,Dominic Samuel,eng ENG,FW,Blackburn,24,1994,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
592,George Saville,nir NIR,"MF,DF",Middlesbrough,25,1993,34,28,"2,516",28.0,4,0,4,4,0,0,9,0,2.0,2.0,4.2,6.2,46,100,82,0.14,0.00,0.14,0.14,0.14,0.07,0.15,0.22,0.07,0.22,Matches
593,George Saville,nir NIR,MF,Millwall,25,1993,4,4,315,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,9,3,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
594,Romaine Sawyers,kn SKN,MF,Brentford,26,1991,42,41,"3,638",40.4,0,6,6,0,0,0,9,0,1.4,1.4,4.0,5.4,80,362,138,0.00,0.15,0.15,0.00,0.15,0.03,0.10,0.13,0.03,0.13,Matches
595,Josh Scowen,eng ENG,MF,QPR,25,1993,35,23,"2,211",24.6,2,2,4,2,0,0,10,0,1.4,1.4,2.9,4.2,29,118,25,0.08,0.08,0.16,0.08,0.16,0.06,0.12,0.17,0.06,0.17,Matches
596,Freddie Sears,eng ENG,"FW,MF",Ipswich Town,28,1989,24,21,"1,858",20.6,6,4,10,5,1,1,1,0,3.6,2.8,1.1,3.9,58,50,138,0.29,0.19,0.48,0.24,0.44,0.17,0.05,0.23,0.14,0.19,Matches
597,Antoine Semenyo,gh GHA,"MF,FW",Bristol City,18,2000,4,1,147,1.6,0,0,0,0,0,0,1,1,0.2,0.2,0.0,0.3,2,3,7,0.00,0.00,0.00,0.00,0.00,0.15,0.02,0.17,0.15,0.17,Matches
598,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,18,1999,19,3,451,5.0,0,2,2,0,0,0,0,0,0.6,0.6,2.2,2.8,18,21,20,0.00,0.40,0.40,0.00,0.40,0.12,0.44,0.56,0.12,0.56,Matches
599,Billy Sharp,eng ENG,FW,Sheffield Utd,32,1986,40,34,"3,013",33.5,23,4,27,22,1,2,3,0,20.1,18.5,3.3,21.8,24,43,298,0.69,0.12,0.81,0.66,0.78,0.60,0.10,0.70,0.55,0.65,Matches
600,Ryan Shawcross,eng ENG,DF,Stoke City,30,1987,36,33,"2,939",32.7,1,0,1,1,0,0,6,0,1.2,1.2,0.7,1.9,12,70,7,0.03,0.00,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
601,Max Sheaf,eng ENG,MF,Hull City,18,2000,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
602,Olamide Shodipo,ie IRL,"MF,FW",QPR,21,1997,4,1,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,3,5,14,0.00,0.00,0.00,0.00,0.00,0.09,0.40,0.49,0.09,0.49,Matches
603,Ryan Shotton,eng ENG,DF,Middlesbrough,29,1988,34,33,"2,874",31.9,0,1,1,0,0,0,6,0,1.5,1.5,3.0,4.4,39,87,75,0.00,0.03,0.03,0.00,0.03,0.05,0.09,0.14,0.05,0.14,Matches
604,Leonardo da Silva Lopes,pt POR,MF,Wigan Athletic,19,1998,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
605,Josh Sims,eng ENG,"FW,MF",Reading,21,1997,17,5,604,6.7,0,2,2,0,0,0,4,0,0.5,0.5,2.4,2.9,18,17,61,0.00,0.30,0.30,0.00,0.30,0.07,0.35,0.43,0.07,0.43,Matches
606,Jiří Skalák,cz CZE,MF,Millwall,26,1992,14,4,467,5.2,0,1,1,0,0,0,1,0,0.3,0.3,0.6,0.8,11,7,30,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches
