Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
662,Jed Wallace,eng ENG,"MF,FW",Millwall,24,1994,42,41,"3,676",40.8,5,2,7,5,0,0,9,0,6.2,6.2,4.5,10.7,161,148,244,0.12,0.05,0.17,0.12,0.17,0.15,0.11,0.26,0.15,0.26,Matches
663,Murray Wallace,sct SCO,DF,Millwall,25,1993,21,19,"1,548",17.2,2,0,2,2,0,0,1,0,1.8,1.8,1.1,2.9,4,38,12,0.12,0.00,0.12,0.12,0.12,0.11,0.06,0.17,0.11,0.17,Matches
664,Liam Walsh,eng ENG,MF,Bristol City,20,1997,9,4,404,4.5,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,5,56,7,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches
665,Jonathan Walters,ie IRL,FW,Ipswich Town,34,1983,3,2,200,2.2,0,1,1,0,0,0,0,0,0.8,0.8,0.2,0.9,2,2,17,0.00,0.45,0.45,0.00,0.45,0.36,0.08,0.44,0.36,0.44,Matches
666,Christian Walton,eng ENG,GK,Wigan Athletic,22,1995,34,34,"3,06",34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
667,Grant Ward,eng ENG,"FW,MF",Ipswich Town,23,1994,14,11,921,10.2,0,2,2,0,0,0,0,0,0.6,0.6,1.5,2.1,19,26,53,0.00,0.20,0.20,0.00,0.20,0.06,0.15,0.21,0.06,0.21,Matches
668,Conor Washington,nir NIR,FW,Sheffield Utd,26,1992,15,3,304,3.4,0,1,1,0,0,0,0,0,1.5,1.5,0.5,2.0,6,5,32,0.00,0.30,0.30,0.00,0.30,0.45,0.15,0.60,0.45,0.60,Matches
669,Conor Washington,nir NIR,FW,QPR,26,1992,4,1,137,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,4,2,6,0.00,0.00,0.00,0.00,0.00,0.23,0.39,0.63,0.23,0.63,Matches
670,Marley Watkins,wls WAL,MF,Bristol City,27,1990,16,5,517,5.7,2,0,2,2,0,0,4,0,2.3,2.3,0.6,2.8,8,10,34,0.35,0.00,0.35,0.35,0.35,0.40,0.10,0.49,0.40,0.49,Matches
671,Ollie Watkins,eng ENG,"FW,MF",Brentford,22,1995,41,35,"3,115",34.6,10,6,16,10,0,0,5,0,8.4,8.4,5.5,13.9,118,119,418,0.29,0.17,0.46,0.29,0.46,0.24,0.16,0.40,0.24,0.40,Matches
672,Ben Watson,eng ENG,MF,Nott'ham Forest,33,1985,17,14,"1,2",13.3,0,0,0,0,0,0,6,0,0.5,0.2,0.4,0.6,1,58,4,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.01,0.04,Matches
673,Adam Webster,eng ENG,DF,Bristol City,23,1995,44,43,"3,744",41.6,3,0,3,3,0,0,5,0,3.2,3.2,1.9,5.0,86,240,19,0.07,0.00,0.07,0.07,0.07,0.08,0.04,0.12,0.08,0.12,Matches
674,Byron Webster,eng ENG,"DF,FW",Millwall,31,1987,4,2,190,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
675,Andreas Weimann,at AUT,"FW,MF",Bristol City,26,1991,44,40,"3,333",37.0,10,5,15,10,0,0,6,0,11.2,11.2,5.4,16.6,79,98,237,0.27,0.14,0.41,0.27,0.41,0.30,0.14,0.45,0.30,0.45,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
676,Jensen Weir,sct SCO,MF,Wigan Athletic,16,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
677,Nahki Wells,bm BER,FW,QPR,28,1990,40,32,"2,848",31.6,7,6,13,7,0,2,4,0,10.7,9.1,4.9,14.0,53,48,248,0.22,0.19,0.41,0.22,0.41,0.34,0.16,0.49,0.29,0.44,Matches
678,Keiren Westwood,ie IRL,GK,Sheffield Weds,33,1984,20,20,"1,8",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
679,David Wheater,eng ENG,DF,Bolton,31,1987,33,32,"2,862",31.8,0,2,2,0,0,0,4,1,1.7,1.6,0.9,2.6,1,41,9,0.00,0.06,0.06,0.00,0.06,0.05,0.03,0.08,0.05,0.08,Matches
680,Glenn Whelan,ie IRL,MF,Aston Villa,34,1984,35,23,"2,058",22.9,1,3,4,1,0,1,5,0,1.2,0.4,1.4,1.8,14,155,17,0.04,0.13,0.17,0.04,0.17,0.05,0.06,0.11,0.02,0.08,Matches
681,Jordy de Wijs,nl NED,DF,Hull City,23,1995,32,30,"2,623",29.1,1,3,4,1,0,0,7,0,2.3,2.3,2.2,4.5,9,64,3,0.03,0.10,0.14,0.03,0.14,0.08,0.08,0.15,0.08,0.15,Matches
682,Yanic Wildschut,sr SUR,"FW,MF",Bolton,26,1991,16,4,565,6.3,2,0,2,2,0,0,0,0,1.5,1.5,0.1,1.6,31,4,42,0.32,0.00,0.32,0.32,0.32,0.24,0.01,0.25,0.24,0.25,Matches
683,Ben Wiles,eng ENG,MF,Rotherham Utd,19,1999,20,9,942,10.5,0,1,1,0,0,0,1,0,0.5,0.5,0.4,0.9,19,40,20,0.00,0.10,0.10,0.00,0.10,0.05,0.04,0.08,0.05,0.08,Matches
684,Ashley Williams,wls WAL,DF,Stoke City,33,1984,33,27,"2,597",28.9,1,1,2,1,0,0,6,1,1.0,1.0,0.7,1.7,18,102,9,0.03,0.03,0.07,0.03,0.07,0.03,0.02,0.06,0.03,0.06,Matches
685,Derrick Williams,ie IRL,DF,Blackburn,25,1993,27,23,"2,177",24.2,0,1,1,0,0,0,6,1,1.5,1.5,1.9,3.4,34,96,32,0.00,0.04,0.04,0.00,0.04,0.06,0.08,0.14,0.06,0.14,Matches
686,Joe Williams,eng ENG,MF,Bolton,21,1996,30,29,"2,52",28.0,0,2,2,0,0,0,6,0,1.2,1.2,2.0,3.2,32,155,50,0.00,0.07,0.07,0.00,0.07,0.04,0.07,0.11,0.04,0.11,Matches
687,Ryan Williams,au AUS,"MF,FW",Rotherham Utd,24,1993,39,24,"2,361",26.2,1,2,3,1,0,0,2,0,3.9,3.9,1.7,5.6,75,70,149,0.04,0.08,0.11,0.04,0.11,0.15,0.07,0.21,0.15,0.21,Matches
688,Shaun Williams,ie IRL,MF,Millwall,31,1986,31,30,"2,631",29.2,5,2,7,4,1,2,5,0,3.4,1.9,3.1,5.0,14,141,44,0.17,0.07,0.24,0.14,0.21,0.12,0.11,0.22,0.06,0.17,Matches
689,Harry Wilson,wls WAL,"FW,MF",Derby County,21,1997,40,37,"3,171",35.2,15,3,18,13,2,2,9,0,9.3,7.7,5.1,12.8,68,115,198,0.43,0.09,0.51,0.37,0.45,0.26,0.15,0.41,0.22,0.36,Matches
690,Marc Wilson,ie IRL,"DF,MF",Bolton,30,1987,16,13,"1,177",13.1,0,0,0,0,0,0,2,1,0.5,0.5,0.2,0.7,3,34,2,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches
691,Josh Windass,eng ENG,"FW,MF",Wigan Athletic,24,1994,39,30,"2,669",29.7,5,2,7,5,0,1,6,0,6.7,5.9,5.2,11.1,64,62,178,0.17,0.07,0.24,0.17,0.24,0.23,0.17,0.40,0.20,0.37,Matches
692,Lewis Wing,eng ENG,MF,Middlesbrough,23,1995,28,19,"1,8",20.0,3,3,6,3,0,0,3,0,2.7,2.7,4.6,7.3,26,85,75,0.15,0.15,0.30,0.15,0.30,0.14,0.23,0.36,0.14,0.36,Matches
693,Sam Winnall,eng ENG,"FW,MF",Sheffield Weds,27,1991,7,1,181,2.0,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,4,13,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
694,Andre Wisdom,eng ENG,DF,Derby County,25,1993,11,9,835,9.3,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,35,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
695,Richard Wood,eng ENG,DF,Rotherham Utd,33,1985,26,23,"1,954",21.7,2,1,3,2,0,0,6,0,1.7,1.7,1.7,3.5,3,30,0,0.09,0.05,0.14,0.09,0.14,0.08,0.08,0.16,0.08,0.16,Matches
696,Ben Woodburn,wls WAL,MF,Sheffield Utd,18,1999,7,1,160,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,4,9,18,0.00,0.00,0.00,0.00,0.00,0.04,0.40,0.44,0.04,0.44,Matches
697,Calum Woods,eng ENG,DF,Preston,31,1987,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
698,Ryan Woods,eng ENG,MF,Stoke City,24,1993,27,26,"2,265",25.2,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,29,188,24,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
699,Luke Woolfenden,eng ENG,DF,Ipswich Town,19,1998,1,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
700,Bailey Wright,au AUS,DF,Bristol City,26,1992,12,10,841,9.3,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,19,14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
701,Paweł Wszołek,pl POL,"MF,FW",QPR,26,1992,38,29,"2,444",27.2,4,4,8,4,0,0,8,0,4.3,4.3,3.4,7.7,56,61,185,0.15,0.15,0.29,0.15,0.29,0.16,0.12,0.28,0.16,0.28,Matches
702,Claudio Yacob,ar ARG,"MF,DF",Nott'ham Forest,31,1987,16,11,972,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.6,5,42,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches
703,Jerry Yates,eng ENG,"FW,MF",Rotherham Utd,21,1996,7,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
704,Ryan Yates,eng ENG,MF,Nott'ham Forest,20,1997,16,15,"1,226",13.6,1,0,1,1,0,0,5,0,2.3,2.3,0.4,2.7,7,40,16,0.07,0.00,0.07,0.07,0.07,0.17,0.03,0.20,0.17,0.20,Matches
705,Nico Yennaris,cn CHN,MF,Brentford,25,1993,17,9,902,10.0,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,6,54,28,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
706,Andy Yiadom,gh GHA,DF,Reading,26,1991,45,45,"4,05",45.0,1,4,5,1,0,0,7,0,1.5,1.5,3.2,4.8,121,206,188,0.02,0.09,0.11,0.02,0.11,0.03,0.07,0.11,0.03,0.11,Matches
707,Jan Žambůrek,cz CZE,FW,Brentford,17,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
708,Christoph Zimmermann,de GER,DF,Norwich City,25,1993,40,39,"3,496",38.8,2,2,4,2,0,0,11,0,0.9,0.9,1.7,2.7,11,95,2,0.05,0.05,0.10,0.05,0.10,0.02,0.04,0.07,0.02,0.07,Matches
